#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                random_bytes.bin|  2.04e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  22|   1000000|     100|0.54179472|  PASSED
      rgb_lagged_sum|  23|   1000000|     100|0.08524227|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.00555970|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.39080146|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.34655692|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.40483922|  PASSED
      rgb_lagged_sum|  28|   1000000|     100|0.71257265|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.09615483|  PASSED
      rgb_lagged_sum|  30|   1000000|     100|0.23950129|  PASSED
      rgb_lagged_sum|  31|   1000000|     100|0.52485190|  PASSED
      rgb_lagged_sum|  32|   1000000|     100|0.13436619|  PASSED
     rgb_kstest_test|   0|     10000|    1000|0.55108882|  PASSED
     dab_bytedistrib|   0|  51200000|       1|0.37188467|  PASSED
             dab_dct| 256|     50000|       1|0.82724992|  PASSED
        dab_filltree|  32|  15000000|       1|0.53671831|  PASSED
        dab_filltree|  32|  15000000|       1|0.89791919|  PASSED
       dab_filltree2|   0|   5000000|       1|0.66579288|  PASSED
       dab_filltree2|   1|   5000000|       1|0.60537936|  PASSED
        dab_monobit2|  12|  65000000|       1|0.54108202|  PASSED
